L438P_1	L438P_2	Control_1	Control_2	Control_3	Control_4	Control_5	Control_6
ENSG00000138593	3242.714	2511.471	3163.613	2882.584	1269.238	2174.12	1653.645	2075.864
ENSG00000138594	2289.345	2893.435	3160.478	2786.706	2029.503	1699.341	3154.071	2348.254
ENSG00000138600	1622.615	1902.938	2142.569	2038.209	1040.943	1422.304	1498.657	2009.433
ENSG00000138604	30	316.999	182	107.001	45	44	132	197
ENSG00000138606	551.999	168.999	200.073	426	129.999	86.001	89.999	91
ENSG00000138613	523.001	526.143	491	498.001	417.001	482.999	360	480.999
ENSG00000138614	967	1168.751	1410.74	1244	766.001	997	1725.109	1145.657
ENSG00000138615	13	14	15	13	13.019	5	9	8.044
ENSG00000138617	385.101	355.001	424	554	395.98	392.001	482	410.957
ENSG00000138621	328.999	353.999	432.999	586.226	357.016	328	515.62	441.001
ENSG00000138622	1	0	2	2	2	0	1	1
ENSG00000138623	12984.766	8858.519	12328.428	8321.858	5505.155	5784.409	4593.316	9745.825
ENSG00000138629	1079	1434.345	1377.332	1368.011	1397.976	1758.231	1623.462	1292.396
ENSG00000138639	90.481	220.001	335.489	86.001	220.8	44.999	12	212.35
ENSG00000138640	450	602.999	567.034	338.111	106	106	127.001	611.999
ENSG00000138641	515.963	235.237	499.265	579.483	281.447	272.673	345.173	468.387
ENSG00000138642	690.186	759.188	889.001	434.001	283.189	265	282	348.889
ENSG00000138646	2654.459	2759.111	4259.63	1966.432	667	556.07	1566.51	1764
ENSG00000138650	3	0	0	1	4	4	0	0
ENSG00000138653	0	0	2	1	2	1	0	0
ENSG00000138658	1269.056	1388.85	1243.968	1430.161	753.163	1148.764	1226.65	956.212
ENSG00000138660	772.849	875	1013	884.999	461.999	649.366	802.288	768.733
ENSG00000138663	848.851	993	1398.305	1052.649	769.629	571.252	1114	1142.451
ENSG00000138668	6664.147	9714.31	11667.444	10414.788	7023.681	9073.405	13062.566	9863.18
ENSG00000138669	4	10.324	6.266	3	8	2.064	4	1.051
ENSG00000138670	9	31.833	40.047	12.05	1	7.002	4.355	4
ENSG00000138674	7699.091	7032.045	6813.063	7941.731	5408.356	4066.111	4523.884	5766.166
ENSG00000138675	14.485	15.948	52.882	11.591	15.087	25.13	17.86	6.214
ENSG00000138678	28	6	33	196	8	28	57	12
ENSG00000138684	0	0	1	0	0	0	0	0
ENSG00000138685	231.183	323.845	592.206	128.512	249.473	106.6	96.986	202.955
ENSG00000138686	258	312	348	417.056	207	292	402	332.106
ENSG00000138688	2874.555	2620.08	2596.182	2906.085	1815	2030.024	2054.01	2503.233
ENSG00000138696	0	2	0	1	0	0	1	0
ENSG00000138698	809.313	1271.919	1453.546	1019	475.999	665.523	1234.001	904.164
ENSG00000138709	954.723	769.049	733	1290.003	762	757.001	897	611.001
ENSG00000138722	7	32	98	3	11	40	22	22
ENSG00000138735	95.059	93.468	101.273	89.812	65	111.126	68.876	84.481
ENSG00000138738	3	1	6	6	1	1	2	0
ENSG00000138741	1	3	2	2	6	1	2	2
ENSG00000138744	224.931	333.909	357.891	275.51	152.582	265.843	274.825	258.033
ENSG00000138750	934.451	1131.168	1328	1236.999	808.997	946.43	1438.687	1140.616
ENSG00000138755	27	27	30	15	1	4	4	5
ENSG00000138756	626.68	1078.254	1031.415	1150.857	284.228	771.625	992.225	1733.567
ENSG00000138757	5722.131	6081.757	6285.249	6988.504	4833.738	3733.972	6653.115	5119.228
ENSG00000138758	4632.129	5514.004	5827.789	5768.557	3861.183	3960.871	6875.905	4540.252
ENSG00000138759	2	42	50	4	3	5	1	10
ENSG00000138760	879.47	1368.158	1245.534	1291.121	783.073	798.988	680.742	819.163
ENSG00000138764	1751.236	1531.048	1452.001	1789.931	450.999	1264.118	969.995	1317
ENSG00000138767	721.252	934.999	762.862	817	271.001	713	857.206	440.001
ENSG00000138768	4757.59	4857.795	5038.983	5886.496	3230.45	2865.004	4068.957	4044.817
ENSG00000138769	4	19	14	23.003	3	1	6	12.004
ENSG00000138771	363.006	621.975	618.009	305.999	331	633.001	139	212.999
ENSG00000138772	6	64	78	10	7	7	9	42
ENSG00000138777	1583.592	1563.194	1622.976	1624.018	1298.001	1197.797	1463.476	1886.563
ENSG00000138778	2035.179	2169.367	2611.499	2755.103	815.038	2124.022	3621.733	2086
ENSG00000138780	508.615	733.129	738.308	798.131	397.004	362.296	961.628	655.779
ENSG00000138785	709.416	902.736	909.258	816.273	624.723	571.853	775.415	734.46
ENSG00000138792	11	3	9	2	8	1	1	2
ENSG00000138794	208.413	234.541	328.175	309.292	150.637	189.346	439.226	247.838
ENSG00000138795	402	201.002	313	721.143	106.001	462.224	142	359.999
ENSG00000138796	1257.445	2191.352	1963.723	1877.485	1452.697	1474.262	2254.148	2072.976
ENSG00000138798	1	0	1	2	0	6	2	1
ENSG00000138801	754	1270.031	1429.973	1023.123	623	822.001	958.497	944.999
ENSG00000138802	1569	1617	1560	1838.241	941	1146.003	1447.001	1294.539
ENSG00000138813	0	0	0	0	0	0	0	0
ENSG00000138814	815	1038.249	1163.63	870.001	583.506	369.211	532.001	896.099
ENSG00000138821	2767.418	2583.337	2883.734	2224.094	997.166	1763.445	2549.433	970.097
ENSG00000138823	127	112	258	61	8	8	33	151
ENSG00000138829	33	16	51	17	12	27	12	37
ENSG00000138834	3470.804	4063.957	2497.089	3748.255	2485.649	4575.05	2477.644	2530.758
ENSG00000138835	2918.651	1061.001	1845.241	2333.368	583	1396.02	1187.558	2727.053
ENSG00000138867	2392.911	2662.47	3349.842	2816.525	2247	2219.156	3622.321	2539.11
ENSG00000138892	0	2	0	8	0	0	0	2
ENSG00000138942	1098.452	1170.001	1225.999	1236.103	790	913.022	943.035	1042
ENSG00000138944	1	3	17	3	3	4	2	2
ENSG00000138964	2294.523	3310.405	3337.497	1877.412	2767.515	3284.999	1898.299	1505.095
ENSG00000139044	6	119	15	159	6	84	34	19
ENSG00000139053	0	0	1	0	1	1	0	1
ENSG00000139055	9	28.165	34.001	38	13	26	47.003	16
ENSG00000139083	2681.007	2747.066	2090.008	2464.19	2055.659	2486.174	2106.749	2819.001
ENSG00000139112	423.001	329.001	449.438	371.078	80	173	29	83.001
ENSG00000139116	4195.96	2297.388	1264	2597.414	1620.001	1238.301	1386.331	1314.004
ENSG00000139117	1109.383	816	1160.002	847	514	824.529	522	910
ENSG00000139131	500.856	592.898	573	618.963	470.65	488.342	848.346	580.999
ENSG00000139132	11	6	13	12.034	3.02	7.017	15.043	6.02
ENSG00000139133	365.075	277.283	276.414	366.858	206.409	244.766	326.312	301.736
ENSG00000139144	0	0	0	1	0	0	0	0
ENSG00000139146	5145.908	3782.556	3887.27	3885.771	1977.887	3657.035	3366.692	3011.237
ENSG00000139151	0	0	0	0	0	0	0	0
ENSG00000139154	1457.391	1375.341	1451.767	1491.745	816.21	1307.469	1885.506	1575.592
ENSG00000139155	0	0	0	0	0	0	0	1
ENSG00000139160	41.324	76.952	67.491	80.393	41.233	74.376	63.971	61.566
ENSG00000139163	3268.578	3543.844	3848.87	3391.257	1410.015	2772.003	2847.927	1676.405
ENSG00000139168	1391.657	1512.983	1668.396	1419.996	1048.001	1128.994	1313.224	1384.379
ENSG00000139173	131.999	116	104.999	153	90	90	123	86
ENSG00000139174	45	85	194	106	58.993	32	29	199.002
ENSG00000139178	410.98	389.439	629.761	576.916	419.026	412.307	475.618	445.191
ENSG00000139180	1651.735	1725.396	1973.582	1714.836	1310.373	1267.202	1980.91	1542.788
ENSG00000139182	1685.426	2041.103	2094.998	1965.128	1614	1761.094	1376.417	1683.234
ENSG00000139187	20.999	37.036	40.999	30.001	25	39	34	24.001
ENSG00000139190	1513.908	1228.266	1730.581	1601.53	2290.49	3358.89	2100.702	1611.648
ENSG00000139192	1162.211	849.167	920.639	1043.536	430.295	655.116	636.184	979.351
ENSG00000139193	4379.266	3313.642	1936.095	4286.274	3196	4809.981	2144.407	3087.742
ENSG00000139194	377	442.001	432.001	498.322	386.285	378.136	289.001	336.116
ENSG00000139197	680.001	656.431	763.557	871	592.151	763.999	883.371	529.052
ENSG00000139200	13	21	23	15	16	30	20	22
ENSG00000139209	3	2	3	1	4	3	13	0
ENSG00000139211	1	2	24	2	0	0	5	6
ENSG00000139218	5733.245	5004.591	5419.028	5138.496	3250.026	4270.445	4983.153	4538.009
ENSG00000139219	3	4	4	8	6	5	7	2
ENSG00000139220	1.675	0	2	2	4	0	0	0
ENSG00000139223	0	0	1.001	0	0	0	0	1.001
ENSG00000139233	793.569	919.375	1135.495	1118.587	834.585	809.546	1313.913	970.196
ENSG00000139239	33.079	57.698	54.532	40.825	53.202	54.899	75.204	56.857
ENSG00000139263	90	18	60.999	204	0	179	407.006	70
ENSG00000139266	778.183	661.227	652	874.707	434.154	886.058	627.19	821.674
ENSG00000139269	195.178	162.999	126.999	355.568	15	68.008	95	69
ENSG00000139278	889.291	1076.384	1191.709	846.863	570.823	1019.699	1112.441	569.124
ENSG00000139287	4.83	15.554	5.755	8.699	4.454	20.004	15.619	2.365
ENSG00000139289	411.234	385.389	362.266	165.483	98.266	51.048	145.098	448.088
ENSG00000139291	1021.824	975.252	1087.751	1093.361	635.376	1042.819	1405.879	1107.42
ENSG00000139292	1	2	4.003	13	6	1	0	5
ENSG00000139304	0	2	5	3	0	0	0	2
ENSG00000139318	6	47	68	11	2	7	12	7
ENSG00000139323	660.385	622.456	727.063	689.239	369.356	665.12	622.518	503.971
ENSG00000139324	280	261	281	308	184.999	227.004	211	252
ENSG00000139329	24	27	430.999	43	36	33	87	39
ENSG00000139330	1	0	0	1	2	0	0	0
ENSG00000139343	987.959	1296.001	1567.89	1403	1036.832	1296.966	2032.578	1400.891
ENSG00000139344	33.759	59.416	43.185	48.583	16.682	52.964	50.432	55.469
ENSG00000139350	1126	1129	1137	1375.002	695.101	869.224	1470.264	1345.87
ENSG00000139351	32.567	30.047	37.479	44.874	23.343	23.528	20.554	18.559
ENSG00000139352	284	111	991.81	78	432	67	21	422
ENSG00000139354	324.996	285.813	364.053	205.902	133.863	174.556	219.276	122.508
ENSG00000139364	54.331	153.018	31.466	20.357	10.005	90.785	7.148	13.271
ENSG00000139370	4391.571	3147.826	1537.622	3364.885	2017.484	4228.209	2171.161	3473.261
ENSG00000139372	1510.013	1618.084	1695.375	1734.018	1174	1106.129	1902.935	1368
ENSG00000139405	598.243	524	637	579.001	429.005	426	622.646	487.937
ENSG00000139410	47	52	111	64.264	32	35	34	122
ENSG00000139428	645.929	968.952	1055.918	1068.845	677.222	1050.705	1144.222	743.975
ENSG00000139433	670.244	732.391	1132.768	1118.965	758.875	730.117	1244.491	937.659
ENSG00000139436	1697.449	2240.593	2449.927	2253.828	1434.369	2081.301	2435.485	1769.768
ENSG00000139437	431.81	598.975	740.826	755.472	527.566	703.61	941.589	558.238
ENSG00000139438	5	4	10	8	6	3	26	12
ENSG00000139445	1	0	0	1	0	0	0	1
ENSG00000139496	3207.788	3376.372	3340.72	3587.325	1757.979	2041.674	3882.972	2978.302
ENSG00000139505	639.187	745.524	842.233	930	525	571.289	869	688
ENSG00000139508	262	292	345.105	436.421	345	496.061	366.001	384.999
ENSG00000139514	3374.788	3706.359	3610.099	4715.576	2021.001	2115.759	4689.811	2573.838
ENSG00000139515	26	7	16	4	0	2	15	8.002
ENSG00000139517	301.621	295.006	311.351	320.725	170.719	251.28	296.653	216.139
ENSG00000139531	365.649	469.843	527.429	501.045	372.163	400.324	416.069	469.518
ENSG00000139537	37.001	44	54	68.001	29	49	47.248	46
ENSG00000139540	6	6	9	10	7	7	5.001	9
ENSG00000139546	485.055	540.154	596.998	599.002	517.344	560.001	719.103	591.018
ENSG00000139547	15	24	12	19	10	16	8	6
ENSG00000139549	2	1	2	0	2	0	2.023	1
ENSG00000139567	5	7	23	14	3.005	1	9.026	3
ENSG00000139572	18	35	77.003	17	20	13	47	16
ENSG00000139574	0	1.8	0	0	5.887	0	0	0
ENSG00000139579	608.898	783.576	1044.051	1013.921	677.808	627.929	1320.398	807.643
ENSG00000139597	1294.332	1182.868	1201.998	1294.723	528.002	1546.304	641	1196.276
ENSG00000139610	0	1	1	0	0	2	0	0
ENSG00000139613	3243.198	3261.529	3516.525	3811.616	2829.032	3108.046	3989.105	3583.922
ENSG00000139618	1751.336	1691.287	1847.999	1914.177	682	997.005	2437.942	1437.271
ENSG00000139620	673	680.047	890	762.011	836.001	608.004	890.133	713.961
ENSG00000139624	724.089	836.021	995.92	943.195	589.75	785.274	822.356	732.458
ENSG00000139625	500.211	426.384	531.887	624.833	401.719	500.359	428.238	558.467
ENSG00000139626	6099.304	6863.387	6975.883	7854.124	3569.365	6737.182	9038.896	4817.22
ENSG00000139629	550.657	872.824	788.231	879.863	667.109	402.211	895.444	813.274
ENSG00000139631	459.424	437.859	417.437	515.235	320.575	480.532	421.962	503.58
ENSG00000139636	923.807	720.298	750.001	845.776	380	1079.001	451.002	633
ENSG00000139637	689.001	686.251	729	725.002	613.862	710.006	809.001	589.001
ENSG00000139641	2703.662	3503.366	4043.855	3844.632	2753.285	2330.999	6006.419	2837.874
ENSG00000139644	9977.848	9914.572	11370.452	12852.912	6094.204	9479.048	10684.369	9092.999
ENSG00000139645	2842.36	2734.886	2899.731	2726	2410.654	1758.161	2915.459	2655.18
ENSG00000139648	0	0	0	1	0	0	0	0
ENSG00000139651	1299.423	1395.491	1311.875	1669.7	1417.755	1862.865	1390.438	1410.805
ENSG00000139656	0	0	1	0	0	0	0	0
ENSG00000139668	480.005	910	620.798	599.967	785.237	1219	856.116	343.125
ENSG00000139675	160.874	235.788	248.097	292.572	184.704	204.939	295.513	201.633
ENSG00000139679	511.84	1120.304	1337.999	986	17	15	59	774
ENSG00000139684	1817.001	2551.196	2365.999	2371.999	2299	2248.839	3522.144	2194.796
ENSG00000139687	4778.754	3442.413	5140.878	5099.244	933	1018.001	2290.223	5350.834
ENSG00000139697	3435.243	2968.046	2919.817	3250.505	2225.462	2105.515	3410.739	2354.407
ENSG00000139714	42.27	40.505	26.109	48.57	46.786	18.605	27.301	23
ENSG00000139718	679.21	796	821.556	1110.065	676	644.006	1073.005	669
ENSG00000139719	950.82	972.257	1177.741	1050.2	665.683	694.413	952.829	853.975
ENSG00000139722	1608.082	909.627	1067.458	1177.842	709.502	244.392	448.677	1549.627
ENSG00000139725	1986.565	1748.086	1950.413	1929.106	1647.411	2020.297	1979.439	1510.274
ENSG00000139726	2522.865	2654.423	3034.347	2849.567	2300.217	1808.908	3155.058	2497.391
ENSG00000139734	756.072	868.066	1123	1056.999	447	442.1	1134.003	718
ENSG00000139737	1086.617	1550.356	1982.191	1190	1158.981	1115.019	1286.66	1773.777
ENSG00000139746	3675.307	3863.201	3650.686	4379.854	2899.033	3500.793	3791.042	3657.002
ENSG00000139767	3.003	1.004	2.004	4	2.004	4.008	1	4
ENSG00000139780	0	0	0	1	1	1	0	2
ENSG00000139793	658.376	543	725.199	1013.663	347	302	350	398
ENSG00000139797	1	0	0	3	1	0	0	3
ENSG00000139800	0	0	0	1	0	0	0	0
ENSG00000139826	564	564	695	659	453	515	583.002	656
ENSG00000139832	258	273	335.571	309	238	182	189	206
ENSG00000139835	34.707	75	26.065	36.709	23.436	65.042	27	21.429
ENSG00000139842	2167.535	2873.337	2756.561	2869.072	2071.753	2471.494	3126.604	2455.744
ENSG00000139865	1	0	0	4	0	0	0	0
ENSG00000139874	0	1	6	2	0	1	2	2
ENSG00000139880	122	68.999	95	67	78	61	63	155.999
ENSG00000139890	23.031	26	30	28	21	35	21	18
ENSG00000139899	312.897	321.752	251.526	287.111	297.567	607.462	243.696	758.354
ENSG00000139908	117.003	135	131.07	136	189	151.999	132	144.093
ENSG00000139910	7	0	7	3	1	0	1	1
ENSG00000139914	2.54	10.288	8.673	4	7.961	6.216	7.382	3.381
ENSG00000139915	0	0	1.034	0	3	1.013	0	0
ENSG00000139921	1953.211	2122.688	2660.999	2453.973	2376.111	1314.788	2811.649	1861.61
ENSG00000139926	279.711	88.091	278.249	288.42	200	73.039	125.149	271.346
ENSG00000139946	7	103.245	16	21	4	11	5	6
ENSG00000139970	2	5	6	5	29	3	2	3
ENSG00000139971	53.85	81.855	87.01	86.597	164.094	81	93.006	69.003
ENSG00000139973	2	7	13	10	8	3	3	9
ENSG00000139974	89	106.623	108.763	117.688	92.001	90.097	97.114	110.96
ENSG00000139977	841.049	873.918	963.503	907.655	678.149	597.641	836.473	834.827
ENSG00000139985	14	14.868	12.889	15	5.614	9.661	3.54	10.821
ENSG00000139988	2.114	2.1	3	4.479	3.073	2.066	1	3
ENSG00000139990	2034.706	2180.999	2331.355	2233.413	1657.184	1721.01	1766.138	1911.229
ENSG00000139998	145.183	212.159	151.484	137.048	203.395	122.073	119.974	267
ENSG00000140006	645	726.002	883	767	356	508.001	837.999	774
ENSG00000140009	252.078	159.999	239.881	243.083	113.999	183.024	130.001	206.05
ENSG00000140015	1	0	1	0	0	0	0	1
ENSG00000140022	16.999	4	5	5	4	3	6	0
ENSG00000140025	156.494	197.569	228.83	238.801	226.676	181.839	228.421	197.604
ENSG00000140030	420.173	396.323	486.836	525.105	238.277	514.654	362.697	380.494
ENSG00000140043	304.665	328.838	308.394	383.046	434.57	613.419	230.005	381.555
ENSG00000140044	291.887	519.984	446.675	624.777	252.738	478.756	848.077	212.943
ENSG00000140057	60.79	40	16.51	52.46	9.325	131.725	144.97	39.11
ENSG00000140067	1	0	0	1	0	0	0	0
ENSG00000140090	31.893	23.523	21.544	23.871	58.197	9.608	5.422	16.069
ENSG00000140092	10.007	13	120	21.017	22.193	20.202	47.329	25.031
ENSG00000140093	3.031	13.076	6.32	9.048	6	6.603	8.065	5.02
ENSG00000140104	62.157	70	94	88	96.999	109.018	67.999	100.999
ENSG00000140105	19540.483	9829.476	20977.359	20718.753	8229.819	5771.363	8041.641	7240.213
ENSG00000140107	2	1	2	2	2	0	0	0
ENSG00000140153	459.042	582.004	619.054	662.006	642.018	434.618	587.1	510.355
ENSG00000140157	2430.897	2794.108	3688.651	3063.333	1884.625	2088.722	3659.994	2488.831
ENSG00000140199	3498.354	2964.436	3554.399	3726.03	2202.94	4056.602	2830.827	1740.453
ENSG00000140254	2	0	0	0	1	2	0	0
ENSG00000140259	1424.221	1544.416	1799.92	1624.009	922.094	1033.111	2125.025	1471
ENSG00000140262	2083.698	2650.863	3070.666	2772.477	1071.527	1358.473	2210.132	1905.008
ENSG00000140263	712.411	681.997	718.653	935.163	666.572	530.016	1714.829	699.824
ENSG00000140264	7577.215	9188.652	8204.949	8382.333	7691.637	10838.747	8462.78	6245.519
ENSG00000140265	911.915	980.307	1140.158	1275.971	847.365	935.934	1027.484	1111.589
ENSG00000140274	0	0	0	2	0	2	0	2
ENSG00000140279	0	2.336	0	2	0	1.017	7.178	4.101
ENSG00000140280	445.305	615.999	829.934	553	592.01	721.392	780.329	610.199
ENSG00000140284	62	16	97	20	4	3	27	24
ENSG00000140285	6.159	9.05	35.323	20.481	8.06	14.264	28.605	14.272
ENSG00000140287	0	0	0	0	0	0	1	0
ENSG00000140297	58.153	71	72.488	70.395	6	3	54.001	69
ENSG00000140299	1794.257	2165.248	2685.813	2632.586	1689.229	1796.596	2683.194	2105.54
ENSG00000140307	906.361	1102.078	1285.682	1266.565	725.8	878.149	1668.035	1110.855
ENSG00000140319	4323.986	5336.427	5935.92	4839.723	4202.521	3917.59	5602.847	5250.25
ENSG00000140320	967	958	1063	1094.074	906.869	745.999	951.001	854
ENSG00000140323	14.387	32.371	27.006	31.478	21.898	24.013	11.392	26.789
ENSG00000140326	432.633	496.999	525.322	616.146	424.267	571	652.784	572
ENSG00000140332	1868.454	3067.255	2404.168	2196.398	1355.005	1701.125	2539.065	2330.912
ENSG00000140350	4428.772	5871.513	6317.847	6290.534	4161.483	4647.822	7683.555	5623.148
ENSG00000140365	701.134	933.113	1153.147	944.045	814.524	883.409	1232.321	891.382
ENSG00000140367	900.946	1241.162	1546.903	987.001	838.001	681	1086.102	950.033
ENSG00000140368	259	314.721	389.176	599.21	180.999	430.412	447.999	239.999
ENSG00000140374	3456.347	3916.492	4079.695	3711.748	3031.549	3280.106	4118.252	4382.595
ENSG00000140379	2169.601	1707.224	2294.504	1657.946	953.939	2043.495	1599.366	1250.16
ENSG00000140382	1871.331	2547.155	2504.04	2266.007	1673.999	2010.006	1868	2302.999
ENSG00000140386	820.433	623.301	621.058	667	363.999	305.171	381.356	528.083
ENSG00000140391	1321.03	1580.322	1495.891	1927.513	1253	1593.246	1757.002	1656.801
ENSG00000140395	810.285	1008.001	1182.011	1195.845	1042.99	895.427	1399.33	1080.396
ENSG00000140396	2347.643	2353.19	3046.531	2132.999	1349.037	1133.057	1680.725	2194
ENSG00000140398	227.413	416.45	508.131	331.269	374.592	651.264	344.629	221.015
ENSG00000140400	2664.164	2566.468	2418.59	3156.366	3447.312	2846.156	2691.462	3117.706
ENSG00000140403	136.715	392.011	311.568	218.122	168.016	627.573	844.125	272.571
ENSG00000140406	828	828.002	894.052	980	712	694	1331.804	942.409
ENSG00000140416	49.023	59.075	505.954	89.352	89.185	71.113	102.929	88.501
ENSG00000140443	17	19	75	49	46	600	104	50
ENSG00000140450	4	1	13	0	6	2	4	1
ENSG00000140451	1583.382	1203.196	1545.846	1920.08	877.301	1325.315	1702.026	1227.9
ENSG00000140455	1841.935	1486.473	1854.391	1695.425	1264.271	1713.009	1360.881	1716.333
ENSG00000140459	36	20.999	16	25	26.084	57.304	12	23.001
ENSG00000140463	367.156	406.001	439.999	452.999	285	331	325.689	376
ENSG00000140464	2434.61	3243.16	3675.042	2815.562	1743.246	2436.026	3006.521	2522.741
ENSG00000140465	33	70	130	253	13	35	153.005	165.002
ENSG00000140470	8.015	29.917	17.021	71.88	17.049	3.026	8.033	21.701
ENSG00000140471	656.861	669.347	783.956	957.846	535.48	789.647	779.045	662.182
ENSG00000140474	525.003	1031.079	868.136	647.051	770.895	906.699	818.231	650.082
ENSG00000140478	4.206	3.485	0	4.382	12.939	0	0	0
ENSG00000140479	29.127	333.055	70.707	108.518	32	58	65.284	53.754
ENSG00000140481	1	2.018	3	9.995	10.694	1.626	5	2
ENSG00000140488	31.56	43.33	37.106	16.398	94.101	25.748	31.781	18.812
ENSG00000140497	2423.945	3087.051	2981.065	3060.174	1950.999	2481.962	3410.088	2085.133
ENSG00000140505	7.025	4.1	7.316	7.091	3.081	7.31	4	2
ENSG00000140506	1	5	4	1	3	2	5	7
ENSG00000140511	394.073	118.001	489.999	339.001	11	25	28	208.001
ENSG00000140519	12	0	3	4	1	4	2	1
ENSG00000140521	1814.149	1884.768	2012.947	2064.189	1963.827	1907.882	2539.199	2086.317
ENSG00000140522	2	1	0	0	1	0	1	2
ENSG00000140525	2383.333	3112.668	3551.746	4027.28	2063.261	2558.063	6789.956	3248.522
ENSG00000140526	1977.109	1344.856	1590.135	1817.072	1027.183	737.397	1845.137	1449.597
ENSG00000140527	2	1	5	4	0	2	3	4
ENSG00000140534	755.881	797.479	880.341	1060.914	401.901	836.716	2262.43	974.47
ENSG00000140538	5.134	2.003	6.246	6.194	9.101	3.024	4.072	4.003
ENSG00000140543	97.364	86.64	108.067	106.028	88.061	101.252	109.719	78.258
ENSG00000140545	49.077	138.522	261.22	160.115	17.004	40.462	104.026	219.024
ENSG00000140548	939.121	786.001	858.399	976.086	503	867	1304.258	745.48
ENSG00000140553	1674.409	1693.674	2030.884	1834.511	1340.059	1726.478	2405.349	1474.432
ENSG00000140557	6	2	0	0	0	0	0	0
ENSG00000140563	1783.018	521.219	1697	1494	6	57	157	990
ENSG00000140564	1980.705	1068.482	1195.597	1652.787	1129.001	1779.363	2516.929	361
